age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58.0,management,married,tertiary,no,2143.0,yes,no,unknown,5.0,may,261.0,1.0,-1.0,,unknown,no
44.0,technician,single,secondary,no,,yes,no,unknown,5.0,may,151.0,1.0,-1.0,0.0,unknown,
33.0,entrepreneur,married,secondary,no,2.0,,yes,unknown,5.0,may,76.0,1.0,-1.0,0.0,unknown,no
47.0,blue-collar,married,unknown,,1506.0,yes,no,unknown,5.0,may,92.0,1.0,-1.0,0.0,unknown,no
33.0,unknown,single,unknown,no,1.0,no,no,unknown,5.0,,198.0,1.0,-1.0,,unknown,no
35.0,management,married,,no,231.0,yes,no,unknown,5.0,may,139.0,,-1.0,0.0,unknown,no
28.0,management,,tertiary,no,447.0,yes,yes,unknown,5.0,may,217.0,1.0,,0.0,unknown,no
42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,,,0.0,unknown,no
58.0,retired,married,primary,no,121.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
43.0,technician,single,secondary,no,593.0,yes,no,unknown,5.0,may,55.0,1.0,-1.0,0.0,,no
41.0,admin.,divorced,secondary,no,270.0,,no,unknown,5.0,may,222.0,1.0,-1.0,0.0,unknown,no
,admin.,single,secondary,no,390.0,yes,,unknown,5.0,may,137.0,1.0,-1.0,,unknown,no
53.0,technician,married,secondary,no,6.0,yes,no,unknown,5.0,may,517.0,1.0,,0.0,unknown,no
58.0,,married,unknown,no,71.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0.0,unknown,
57.0,services,married,secondary,no,162.0,,,unknown,5.0,may,174.0,1.0,-1.0,0.0,unknown,no
51.0,retired,married,primary,no,229.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
45.0,admin.,single,unknown,no,13.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no
57.0,blue-collar,married,primary,no,52.0,yes,no,unknown,5.0,may,38.0,1.0,-1.0,0.0,unknown,no
60.0,retired,married,primary,no,60.0,yes,no,unknown,5.0,may,219.0,1.0,-1.0,0.0,unknown,no
33.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,54.0,1.0,-1.0,0.0,unknown,no
28.0,,married,secondary,no,723.0,yes,yes,unknown,5.0,may,262.0,1.0,-1.0,0.0,unknown,no
56.0,management,,tertiary,no,779.0,yes,no,unknown,5.0,may,164.0,1.0,-1.0,0.0,unknown,
32.0,,single,primary,no,23.0,yes,yes,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown,no
25.0,services,married,secondary,no,,yes,no,unknown,5.0,may,342.0,1.0,-1.0,0.0,unknown,no
,retired,married,primary,no,,yes,yes,unknown,5.0,may,181.0,,-1.0,,unknown,no
44.0,admin.,married,secondary,no,-372.0,,no,unknown,5.0,,172.0,1.0,-1.0,0.0,unknown,
,management,single,tertiary,no,255.0,yes,no,,5.0,may,296.0,1.0,-1.0,0.0,unknown,no
,entrepreneur,married,,no,113.0,yes,yes,unknown,5.0,,127.0,1.0,-1.0,0.0,unknown,no
46.0,management,single,secondary,no,-246.0,yes,no,unknown,5.0,may,255.0,2.0,-1.0,0.0,unknown,no
36.0,technician,,secondary,no,265.0,yes,yes,unknown,5.0,may,348.0,1.0,-1.0,,unknown,no
57.0,technician,married,secondary,,839.0,no,yes,unknown,5.0,may,225.0,,-1.0,,unknown,no
,management,married,tertiary,no,378.0,yes,no,unknown,5.0,may,230.0,1.0,-1.0,0.0,unknown,no
60.0,admin.,married,secondary,no,39.0,yes,yes,unknown,5.0,may,208.0,1.0,-1.0,0.0,unknown,no
,blue-collar,married,secondary,,0.0,,no,unknown,5.0,may,226.0,1.0,-1.0,0.0,unknown,
51.0,management,married,tertiary,no,10635.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
57.0,,divorced,secondary,no,63.0,,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown,no
25.0,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5.0,may,365.0,1.0,-1.0,0.0,unknown,no
53.0,technician,,secondary,no,-3.0,no,no,unknown,5.0,may,1666.0,1.0,-1.0,0.0,unknown,
36.0,admin.,divorced,,no,506.0,yes,no,unknown,5.0,may,577.0,1.0,-1.0,0.0,unknown,no
37.0,admin.,single,,no,0.0,,no,unknown,5.0,may,137.0,1.0,-1.0,0.0,unknown,
,services,divorced,secondary,no,2586.0,yes,no,unknown,5.0,may,160.0,1.0,-1.0,,unknown,no
50.0,management,married,secondary,no,49.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0.0,unknown,no
60.0,blue-collar,married,unknown,no,104.0,yes,,unknown,5.0,may,22.0,,-1.0,0.0,unknown,no
,retired,married,secondary,no,529.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
,retired,married,unknown,no,,yes,,unknown,5.0,may,,1.0,-1.0,0.0,unknown,
36.0,admin.,single,primary,no,-171.0,,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown,no
,,married,tertiary,no,-364.0,yes,no,unknown,5.0,may,355.0,1.0,-1.0,0.0,unknown,no
44.0,technician,,secondary,no,0.0,yes,no,unknown,5.0,may,225.0,2.0,,0.0,,no
55.0,technician,divorced,secondary,no,0.0,,no,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown,no
29.0,,single,,no,0.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
54.0,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5.0,may,266.0,1.0,-1.0,0.0,unknown,
48.0,management,divorced,,no,-244.0,yes,no,unknown,5.0,may,,1.0,,,unknown,no
32.0,,married,tertiary,,0.0,yes,no,unknown,5.0,may,179.0,1.0,-1.0,0.0,unknown,no
42.0,admin.,single,secondary,,-76.0,yes,no,unknown,5.0,,787.0,1.0,,0.0,unknown,no
24.0,technician,single,secondary,no,-103.0,,yes,,5.0,may,145.0,1.0,-1.0,,unknown,no
38.0,entrepreneur,single,tertiary,,,no,yes,unknown,5.0,may,174.0,1.0,-1.0,0.0,unknown,no
38.0,,single,tertiary,no,424.0,yes,no,unknown,5.0,may,104.0,1.0,,0.0,unknown,no
47.0,blue-collar,married,unknown,no,306.0,yes,no,unknown,,may,13.0,1.0,-1.0,0.0,unknown,no
40.0,blue-collar,single,unknown,no,24.0,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown,no
46.0,services,married,primary,no,179.0,yes,no,unknown,5.0,may,1778.0,1.0,-1.0,0.0,,no
32.0,admin.,married,tertiary,no,0.0,yes,no,,5.0,may,138.0,1.0,-1.0,0.0,unknown,
53.0,technician,divorced,secondary,no,989.0,yes,no,unknown,5.0,may,812.0,1.0,-1.0,0.0,unknown,no
57.0,blue-collar,married,primary,no,249.0,yes,no,unknown,5.0,may,164.0,1.0,-1.0,,unknown,no
33.0,,married,secondary,no,790.0,yes,no,unknown,5.0,may,391.0,1.0,-1.0,,unknown,no
49.0,blue-collar,married,unknown,,154.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0.0,unknown,
51.0,management,married,tertiary,no,6530.0,yes,,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
60.0,retired,married,tertiary,no,100.0,no,no,unknown,5.0,may,528.0,1.0,-1.0,0.0,unknown,no
59.0,management,divorced,tertiary,no,59.0,yes,,unknown,5.0,may,273.0,1.0,-1.0,0.0,unknown,no
55.0,technician,married,secondary,no,1205.0,yes,no,unknown,5.0,may,158.0,,-1.0,0.0,,no
35.0,blue-collar,,secondary,no,12223.0,yes,yes,unknown,,may,177.0,1.0,-1.0,,unknown,no
57.0,blue-collar,married,secondary,no,5935.0,,yes,unknown,5.0,may,258.0,1.0,-1.0,0.0,unknown,no
31.0,,married,secondary,no,25.0,yes,yes,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown,no
54.0,management,married,secondary,no,282.0,yes,yes,,5.0,may,154.0,1.0,-1.0,0.0,unknown,no
55.0,blue-collar,married,primary,no,23.0,yes,no,unknown,5.0,may,291.0,1.0,-1.0,0.0,unknown,no
,technician,married,secondary,no,1937.0,yes,no,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown,no
53.0,technician,,secondary,,384.0,yes,no,unknown,5.0,may,176.0,1.0,-1.0,0.0,,no
44.0,blue-collar,,secondary,no,582.0,no,yes,unknown,5.0,may,211.0,1.0,-1.0,0.0,unknown,no
55.0,,divorced,secondary,no,91.0,no,,,5.0,may,349.0,1.0,-1.0,0.0,unknown,no
49.0,services,,secondary,no,0.0,yes,yes,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
55.0,services,divorced,secondary,yes,1.0,yes,no,unknown,5.0,may,208.0,1.0,,0.0,unknown,no
,admin.,single,secondary,no,,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
47.0,,divorced,,no,164.0,no,no,unknown,5.0,may,212.0,1.0,-1.0,0.0,unknown,no
,technician,single,secondary,no,690.0,yes,no,unknown,5.0,,,1.0,-1.0,,unknown,no
59.0,admin.,married,secondary,no,2343.0,yes,no,unknown,5.0,may,1042.0,1.0,-1.0,0.0,unknown,yes
46.0,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5.0,,246.0,1.0,-1.0,0.0,unknown,no
,,married,primary,no,173.0,yes,no,unknown,5.0,may,529.0,2.0,,0.0,unknown,no
56.0,admin.,married,secondary,no,45.0,no,no,unknown,5.0,,1467.0,1.0,-1.0,0.0,,yes
41.0,technician,married,secondary,no,1270.0,,no,unknown,5.0,may,1389.0,1.0,-1.0,0.0,unknown,yes
46.0,,divorced,secondary,no,16.0,yes,yes,unknown,5.0,may,188.0,2.0,-1.0,0.0,unknown,
57.0,retired,married,secondary,no,486.0,yes,,unknown,5.0,may,180.0,,,0.0,unknown,no
42.0,management,single,secondary,no,50.0,no,no,unknown,5.0,,48.0,1.0,-1.0,0.0,,
30.0,technician,married,secondary,no,152.0,yes,yes,unknown,5.0,,213.0,2.0,-1.0,0.0,unknown,no
60.0,admin.,married,secondary,no,290.0,yes,no,unknown,5.0,may,,,-1.0,0.0,unknown,no
60.0,blue-collar,married,,no,54.0,yes,no,unknown,5.0,may,221.0,1.0,-1.0,0.0,unknown,no
57.0,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5.0,may,173.0,1.0,-1.0,0.0,unknown,no
36.0,management,married,tertiary,no,101.0,yes,yes,unknown,5.0,,426.0,1.0,-1.0,0.0,unknown,no
55.0,,married,secondary,no,383.0,no,,unknown,5.0,may,287.0,1.0,-1.0,0.0,unknown,no
,retired,married,tertiary,no,81.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
,technician,married,secondary,no,,yes,no,unknown,5.0,,203.0,1.0,-1.0,0.0,unknown,no
46.0,management,married,,no,229.0,yes,no,unknown,5.0,may,197.0,,-1.0,0.0,unknown,no
44.0,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5.0,may,257.0,1.0,,0.0,unknown,no
53.0,blue-collar,married,primary,no,90.0,no,no,unknown,,may,124.0,1.0,-1.0,0.0,unknown,no
52.0,blue-collar,married,primary,no,128.0,yes,no,unknown,5.0,may,229.0,,-1.0,0.0,unknown,no
59.0,blue-collar,married,primary,,,yes,no,unknown,5.0,may,55.0,3.0,-1.0,0.0,unknown,no
27.0,technician,single,tertiary,no,0.0,yes,no,unknown,5.0,may,400.0,,-1.0,0.0,unknown,no
44.0,blue-collar,married,,no,54.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0.0,unknown,no
47.0,technician,,tertiary,no,151.0,yes,no,unknown,5.0,may,190.0,1.0,-1.0,0.0,unknown,no
34.0,admin.,married,secondary,no,61.0,no,yes,unknown,,may,21.0,1.0,-1.0,0.0,unknown,no
59.0,retired,single,secondary,no,30.0,yes,no,unknown,5.0,may,514.0,1.0,-1.0,0.0,unknown,no
,management,married,tertiary,no,523.0,yes,no,unknown,5.0,,849.0,2.0,-1.0,0.0,unknown,no
29.0,services,divorced,secondary,no,31.0,,no,unknown,5.0,may,194.0,1.0,-1.0,0.0,unknown,no
46.0,,divorced,secondary,no,79.0,no,no,unknown,5.0,may,144.0,1.0,-1.0,0.0,unknown,no
56.0,self-employed,married,primary,no,-34.0,yes,yes,unknown,5.0,may,212.0,2.0,-1.0,0.0,unknown,no
36.0,,married,primary,no,448.0,yes,,unknown,5.0,,286.0,1.0,-1.0,0.0,unknown,
59.0,retired,,primary,no,81.0,,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,
44.0,blue-collar,married,secondary,no,144.0,yes,no,unknown,5.0,may,247.0,2.0,-1.0,0.0,unknown,no
41.0,admin.,married,secondary,no,351.0,yes,,unknown,5.0,may,518.0,1.0,-1.0,0.0,unknown,no
33.0,management,single,tertiary,no,-67.0,yes,no,unknown,5.0,may,364.0,1.0,-1.0,,unknown,no
59.0,,divorced,tertiary,no,262.0,no,,unknown,5.0,may,178.0,1.0,-1.0,0.0,unknown,no
57.0,technician,married,primary,no,0.0,no,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,
56.0,technician,divorced,unknown,no,56.0,yes,,unknown,5.0,may,439.0,1.0,-1.0,0.0,unknown,no
51.0,blue-collar,married,,no,26.0,yes,,unknown,5.0,may,79.0,1.0,-1.0,0.0,unknown,no
34.0,admin.,married,unknown,no,3.0,yes,no,unknown,5.0,may,,3.0,-1.0,0.0,unknown,no
43.0,,married,secondary,,41.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown,no
52.0,technician,married,tertiary,no,7.0,,yes,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown,no
,technician,single,secondary,no,,yes,,,5.0,may,262.0,2.0,-1.0,0.0,unknown,no
29.0,admin.,single,secondary,no,,yes,yes,unknown,5.0,may,61.0,1.0,,0.0,,no
,services,married,secondary,no,-16.0,,yes,unknown,5.0,may,78.0,1.0,-1.0,,unknown,no
31.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,143.0,1.0,-1.0,0.0,,no
55.0,services,married,secondary,no,2476.0,yes,no,unknown,5.0,may,579.0,1.0,-1.0,0.0,unknown,yes
55.0,management,married,unknown,no,1185.0,no,no,,5.0,may,677.0,1.0,,0.0,unknown,no
32.0,admin.,single,secondary,no,217.0,yes,no,unknown,5.0,may,345.0,1.0,-1.0,0.0,unknown,
38.0,,single,secondary,no,,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown,no
